raceId,driverId,stop,lap
841,153,1,1
841,30,1,1
841,17,1,11
841,4,1,12
841,13,1,13
841,22,1,13
841,20,1,14
841,814,1,14
841,816,1,14
841,67,1,15
841,2,1,15
841,1,1,16
841,808,1,16
841,3,1,16
841,155,1,16
841,16,1,16
841,15,1,16
841,18,1,17
841,153,2,17
841,5,1,17
841,30,2,17
841,10,1,18
841,18,2,19
841,815,1,23
841,22,2,23
841,17,2,26
841,4,2,27
841,22,3,28
841,67,2,29
841,2,2,30
841,13,2,31
841,155,2,32
841,20,2,36
841,1,2,36
841,153,3,35
841,808,2,36
841,814,2,36
841,18,3,37
841,16,2,37
841,15,2,37
841,816,2,38
841,17,3,41
841,22,4,40
841,4,3,42
841,13,3,48
842,16,1,3
842,22,1,3
842,17,1,10
842,814,1,11
842,1,1,12
842,20,1,13
842,2,1,13
842,18,1,13
842,13,1,13
842,15,1,13
842,4,1,14
842,30,1,14
842,808,1,15
842,67,1,15
842,3,1,15
842,5,1,15
842,153,1,16
842,16,2,16
842,155,1,17
842,815,1,17
842,10,1,17
842,816,1,17
842,24,1,17
842,22,2,17
842,67,2,20
842,17,2,22
842,18,2,23
842,1,2,24
842,814,2,24
842,20,2,25
842,4,2,26
842,2,2,26
842,13,2,27
842,808,2,27
842,30,2,28
842,3,2,29
842,17,3,32
842,153,2,32
842,16,3,32
842,67,3,32
842,5,2,34
842,10,2,34
842,816,2,35
842,155,2,36
842,1,3,37
842,814,3,37
842,18,3,38
842,13,3,38
842,2,3,39
842,24,2,38
842,3,3,40
842,20,3,41
842,4,3,41
842,30,3,42
842,17,4,43
842,808,3,44
842,4,4,46
842,24,3,44
842,1,4,52
843,153,1,9
843,24,1,9
843,30,1,10
843,17,1,10
843,813,1,10
843,814,1,11
843,3,1,12
843,67,1,12
843,18,1,14
843,20,1,14
843,155,1,14
843,13,1,15
843,1,1,15
843,16,1,15
843,4,1,16
843,815,1,16
843,22,1,16
843,67,2,16
843,10,1,16
843,808,1,17
843,2,1,18
843,5,1,19
843,15,1,20
843,816,1,20
843,24,2,21
843,39,1,23
843,18,2,24
843,3,2,25
843,1,2,25
843,17,2,25
843,813,2,25
843,30,2,26
843,10,2,28
843,16,2,30
843,155,2,30
843,2,2,30
843,20,2,31
843,4,2,32
843,814,2,32
843,13,2,33
843,67,3,33
843,816,2,34
843,22,2,35
843,815,2,36
843,18,3,37
843,808,2,37
843,1,3,38
843,3,3,39
843,30,3,39
843,17,3,40
843,10,3,39
843,5,2,40
843,813,3,40
843,15,2,42
843,24,3,45
843,16,3,47
843,815,3,48
843,815,4,50
844,815,1,1
844,30,1,2
844,808,1,8
844,13,1,9
844,1,1,9
844,67,1,9
844,17,1,10
844,4,1,10
844,3,1,10
844,2,1,10
844,22,1,10
844,16,1,10
844,20,1,11
844,814,1,11
844,813,1,11
844,18,1,13
844,155,1,13
844,153,1,13
844,15,1,13
844,30,2,14
844,39,1,14
844,5,1,15
844,24,1,15
844,815,2,16
844,816,1,16
844,24,2,16
844,808,2,19
844,1,2,20
844,17,2,21
844,3,2,22
844,2,2,22
844,4,2,23
844,13,2,23
844,67,2,23
844,155,2,23
844,22,2,24
844,814,2,24
844,20,2,25
844,16,2,25
844,813,2,25
844,15,2,25
844,18,2,26
844,39,2,27
844,153,2,29
844,30,3,30
844,5,2,31
844,814,3,32
844,815,3,32
844,3,3,33
844,1,3,34
844,816,2,33
844,808,3,34
844,13,3,34
844,17,3,35
844,4,3,36
844,2,3,36
844,24,3,35
844,155,3,38
844,18,3,39
844,153,3,39
844,20,3,40
844,15,3,39
844,67,3,40
844,22,3,40
844,16,3,40
844,24,4,37
844,813,3,41
844,815,4,42
844,3,4,44
844,814,4,44
844,17,4,45
844,808,4,45
844,30,4,45
844,4,4,46
844,813,4,45
844,1,4,46
844,2,4,46
844,13,4,46
844,20,4,47
844,39,3,45
844,5,3,53
844,153,4,55
845,155,1,1
845,815,1,7
845,813,1,8
845,20,1,9
845,67,1,9
845,4,1,10
845,17,1,10
845,30,1,10
845,1,1,11
845,808,1,11
845,3,1,11
845,13,1,11
845,153,1,11
845,22,1,11
845,16,1,13
845,18,1,14
845,39,1,14
845,814,1,15
845,15,1,15
845,5,1,16
845,24,1,16
845,10,1,16
845,816,1,17
845,20,2,18
845,4,2,19
845,17,2,19
845,813,2,20
845,13,2,21
845,2,1,21
845,1,2,23
845,22,2,23
845,153,2,24
845,67,2,25
845,155,2,25
845,30,2,26
845,808,2,26
845,3,2,27
845,4,3,29
845,17,3,29
845,5,2,28
845,815,2,29
845,15,2,29
845,39,2,28
845,18,2,30
845,16,2,30
845,814,2,32
845,20,3,34
845,1,3,35
845,816,2,34
845,22,3,35
845,13,3,36
845,813,3,36
845,2,2,36
845,153,3,36
845,4,4,39
845,10,2,38
845,30,3,41
845,808,3,41
845,5,3,41
845,3,3,42
845,67,3,42
845,15,3,43
845,155,3,44
845,17,4,47
845,20,4,48
845,815,3,47
845,18,3,48
845,1,4,49
845,16,3,48
845,39,3,47
845,2,3,50
845,153,4,50
845,816,3,49
845,814,3,51
845,813,4,53
845,10,3,53
845,22,4,54
846,30,1,12
846,18,1,15
846,3,1,15
846,20,1,16
846,17,1,16
846,4,1,17
846,5,1,19
846,814,1,20
846,1,1,22
846,10,1,22
846,15,1,24
846,813,1,25
846,13,1,26
846,39,1,25
846,814,2,27
846,808,1,28
846,153,1,29
846,22,1,32
846,18,2,33
846,814,3,32
846,2,1,33
846,67,1,33
846,4,2,34
846,3,2,33
846,24,1,32
846,816,1,33
846,155,1,34
846,16,1,34
846,39,2,33
846,1,2,43
846,15,2,46
846,18,3,48
846,1,3,49
846,5,2,52
846,3,3,53
846,813,2,54
846,17,2,55
846,153,2,56
846,67,2,62
846,816,2,63
846,16,2,68
846,22,2,68
846,2,2,69
847,18,1,8
847,24,1,9
847,18,2,13
847,22,1,15
847,16,1,16
847,4,1,17
847,3,1,17
847,813,1,17
847,67,1,17
847,816,1,17
847,30,1,18
847,4,2,19
847,18,3,19
847,3,2,19
847,153,1,19
847,22,2,19
847,5,1,19
847,15,1,19
847,813,2,19
847,20,1,20
847,17,1,20
847,67,2,20
847,13,1,21
847,30,2,21
847,816,2,23
847,816,3,33
847,30,3,34
847,16,2,34
847,10,1,34
847,22,3,34
847,67,3,34
847,2,1,35
847,814,1,35
847,18,4,35
847,37,1,35
847,153,2,35
847,813,3,35
847,24,2,35
847,155,1,36
847,13,2,36
847,808,1,36
847,17,2,36
847,4,3,36
847,3,3,36
847,15,2,36
847,816,4,36
847,20,2,37
847,39,1,37
847,18,5,37
847,814,2,43
847,16,3,45
847,16,4,49
847,17,3,50
847,22,4,50
847,67,4,50
847,814,3,50
847,18,6,51
847,153,3,51
847,813,4,51
847,10,2,51
847,39,2,51
847,30,4,52
847,13,3,52
847,2,2,52
847,37,2,52
847,15,3,52
847,816,5,52
847,20,3,53
847,24,3,52
847,155,2,53
847,808,2,53
847,3,4,53
847,13,4,53
847,814,4,53
847,813,5,61
848,813,1,10
848,2,1,11
848,22,1,11
848,155,1,11
848,1,1,12
848,3,1,12
848,16,1,12
848,17,1,13
848,20,1,14
848,4,1,14
848,18,1,14
848,30,1,14
848,814,1,14
848,67,1,14
848,5,1,14
848,39,1,14
848,13,1,15
848,808,1,15
848,30,2,15
848,24,1,15
848,10,1,17
848,15,1,18
848,816,1,18
848,153,1,19
848,1,2,24
848,815,1,25
848,67,2,26
848,5,2,26
848,2,2,27
848,814,2,27
848,808,2,27
848,17,2,28
848,16,2,28
848,22,2,28
848,813,2,28
848,4,2,29
848,24,2,28
848,20,2,30
848,18,2,30
848,3,2,30
848,39,2,29
848,13,2,31
848,30,3,31
848,155,2,33
848,15,2,34
848,816,2,37
848,808,3,39
848,2,3,40
848,22,3,40
848,17,3,42
848,1,3,42
848,153,2,42
848,5,3,42
848,16,3,43
848,10,2,42
848,814,3,44
848,4,3,45
848,24,3,43
848,813,3,44
848,3,3,45
848,67,3,45
848,20,3,47
848,39,3,44
848,13,3,48
848,18,3,48
849,30,1,9
849,2,1,10
849,18,1,11
849,16,1,11
849,155,1,11
849,813,1,11
849,67,1,11
849,808,1,11
849,22,1,11
849,10,1,11
849,24,1,11
849,816,1,11
849,17,1,12
849,4,1,12
849,1,1,12
849,814,1,12
849,3,1,12
849,815,1,12
849,153,1,12
849,817,1,12
849,20,1,13
849,13,1,13
849,30,2,16
849,155,2,20
849,1,2,24
849,814,2,24
849,813,2,24
849,16,2,25
849,67,2,25
849,17,2,26
849,18,2,26
849,13,2,26
849,814,3,26
849,20,2,27
849,4,2,27
849,816,2,28
849,817,2,28
849,3,2,30
849,2,2,30
849,10,2,30
849,153,2,31
849,30,3,31
849,22,2,31
849,815,2,32
849,24,2,31
849,813,3,35
849,20,3,36
849,1,3,37
849,17,3,38
849,808,2,38
849,4,3,39
849,18,3,39
849,16,3,40
849,13,3,41
850,815,1,8
850,67,1,10
850,812,1,10
850,17,1,14
850,3,1,14
850,30,1,15
850,813,1,15
850,1,1,16
850,4,1,16
850,20,1,16
850,13,1,17
850,155,1,20
850,24,1,20
850,817,1,21
850,16,1,22
850,10,1,22
850,808,1,23
850,153,1,23
850,814,1,23
850,18,1,24
850,816,1,24
850,5,1,26
850,17,2,30
850,812,2,28
850,1,2,31
850,4,2,32
850,813,2,35
850,3,2,36
850,67,2,36
850,30,2,37
850,20,2,40
850,13,2,41
850,815,2,41
850,153,2,43
850,808,2,46
850,16,2,48
850,155,2,48
850,10,2,48
850,1,3,51
850,816,2,49
850,817,2,49
850,5,2,50
850,814,2,51
850,4,3,53
850,3,3,53
850,812,3,51
850,17,3,56
850,30,3,56
850,13,3,59
850,20,3,59
851,17,1,10
851,13,1,10
851,808,1,10
851,22,1,10
851,18,1,11
851,814,1,11
851,813,1,11
851,2,1,11
851,10,1,11
851,816,1,11
851,1,1,12
851,20,1,12
851,4,1,12
851,3,1,12
851,155,1,12
851,67,1,12
851,5,1,12
851,16,1,12
851,815,1,12
851,24,1,12
851,30,1,13
851,153,1,13
851,15,1,13
851,817,1,13
851,813,2,16
851,2,2,23
851,22,2,24
851,153,2,24
851,5,2,24
851,815,2,24
851,17,2,25
851,4,2,25
851,13,2,25
851,808,2,25
851,67,2,25
851,1,2,26
851,30,2,26
851,24,2,25
851,16,2,26
851,18,2,27
851,3,2,27
851,814,2,27
851,20,2,28
851,813,3,28
851,10,2,28
851,817,2,28
851,816,2,29
851,815,3,32
851,155,2,34
851,4,3,36
851,22,3,37
851,17,3,39
851,24,3,37
851,1,3,40
851,13,3,40
851,20,3,41
851,18,3,42
851,814,3,42
851,67,3,43
851,5,3,43
851,815,4,44
851,817,3,43
851,4,4,47
851,153,3,47
851,816,3,47
851,3,3,50
851,17,4,51
851,808,3,50
851,22,4,50
851,5,4,49
851,16,3,50
851,24,4,48
851,813,4,50
851,1,4,52
851,17,5,53
851,22,5,52
851,1,5,54
851,808,4,53
851,5,5,52
851,16,4,53
851,816,4,51
851,3,4,54
851,813,5,53
851,24,5,51
851,10,3,53
851,1,6,56
851,13,4,58
851,155,3,62
852,10,1,1
852,811,1,1
852,5,1,1
852,17,1,3
852,18,1,3
852,30,1,4
